loss_fn	Source	SS	DF	MS	F	p_unc	p_bonf	p_fdr	np2	eta_sq	pct_var
mss_log_lin	rating_stimulus	0.536240123358876	3	0.178746707786292	39.85720141934013	4.303517504238003e-12	4.303517504238003e-11	1.0758793760595006e-11	0.7493288346257287	0.10008349251585259	10.00834925158526
mss_log_lin	modulation:feature	0.017374983235796802	4	0.004343745808949201	0.9685747713389777	0.43537388849513237	1.0	0.4837487649945915	0.08830452374449557	0.0032428550734894383	0.32428550734894385
mss_log_lin	modulation:source	0.0683595202618472	2	0.0341797601309236	7.621452729813177	0.0015691685257128978	0.015691685257128978	0.002241669322446997	0.2759251225619633	0.012758574445454375	1.2758574445454374
mss_log_lin	modulation:rating_stimulus	0.12960097284360453	6	0.021600162140600756	4.816435635601413	0.0008767682410093751	0.008767682410093751	0.001461280401682292	0.4194367958082283	0.024188637572275407	2.4188637572275407
mss_log_lin	feature:source	0.7646086133626981	2	0.38230430668134907	85.24677149912952	3.770719816533405e-15	3.770719816533405e-14	1.2569066055111351e-14	0.8099704179508688	0.1427060324276187	14.27060324276187
mss_log_lin	feature:rating_stimulus	0.01466397539165537	6	0.0024439958986092283	0.5449657675114931	0.7707993522688213	1.0	0.7707993522688213	0.0755676017164618	0.0027368744102372737	0.2736874410237274
mss_log_lin	source:rating_stimulus	0.027384255147269138	3	0.009128085049089713	2.035393708114702	0.12431058920727493	1.0	0.15538823650909367	0.13243736469685705	0.0051109787867359945	0.5110978786735995
mss_log_lin	Residual (pooled)	0.17938711341590355	40	0.004484677835397589						0.033480689043825174	3.3480689043825174
mfcc	modulation	24.11653608452516	2	12.05826804226258	123.98529244581803	7.148867650721663e-18	7.148867650721662e-17	3.574433825360831e-17	0.8610969241353172	0.1310054125969415	13.10054125969415
mfcc	feature	104.22335311891132	2	52.11167655945566	535.8216814737227	1.3240068711419031e-29	1.3240068711419031e-28	1.3240068711419031e-28	0.9640172367026573	0.5661602200964901	56.616022009649015
mfcc	source	3.608809199072668	1	3.608809199072668	37.10642874747598	3.5145298803907794e-07	3.5145298803907794e-06	5.8575498006513e-07	0.4812365110177747	0.019603708279296264	1.9603708279296264
mfcc	rating_stimulus	9.733020340069189	3	3.244340113356396	33.358891703050425	5.7006435482227546e-11	5.700643548222754e-10	1.4251608870556886e-10	0.7144421084464563	0.05287153764521625	5.2871537645216256
mfcc	modulation:feature	8.748647880177707	4	2.1871619700444267	22.488794869370565	8.647286028761256e-10	8.647286028761257e-09	1.7294572057522513e-09	0.6922015716431609	0.047524247312758505	4.75242473127585
mfcc	modulation:source	0.5215676532736386	2	0.2607838266368193	2.681426461692637	0.08075931485569418	0.8075931485569419	0.08973257206188243	0.11822124442752227	0.0028332504044051195	0.28332504044051193
mfcc	modulation:rating_stimulus	4.774939338828199	6	0.7958232231380332	8.182798284970643	8.386170562704425e-06	8.386170562704425e-05	1.1980243661006321e-05	0.5510500419793511	0.02593833940397216	2.5938339403972157
mfcc	feature:source	20.560087539902064	2	10.280043769951032	105.70126893066072	1.0809526652864288e-16	1.0809526652864287e-15	3.603175550954763e-16	0.8408926165174005	0.11168613692090015	11.168613692090016
mfcc	feature:rating_stimulus	3.762697705610953	6	0.6271162842684922	6.448123033096416	8.175539630210561e-05	0.0008175539630210561	0.00010219424537763201	0.4916680465881127	0.02043965865054014	2.043965865054014
mfcc	source:rating_stimulus	0.14820507394790694	3	0.04940169131596898	0.5079571231673459	0.6790418169739889	1.0	0.6790418169739889	0.036698682450434346	0.000805076931175212	0.08050769311752119
mfcc	Residual (pooled)	3.890225301531496	40	0.0972556325382874						0.021132411758304527	2.113241175830453
